timestep,ID,x,y,z,u,v,w,fx,fy,fz,omx,omy,omz,tx,ty,tz
0.738,18,0.0007303,0,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,19,0.0017313,0,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,20,0.0027323,0,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,21,0.0007303,0.001001,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,22,0.0017313,0.001001,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,23,0.0027323,0.001001,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,24,0.0007303,0.002002,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,25,0.0017313,0.002002,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.738,26,0.0027323,0.002002,0.00179646,0.000946471,0,-0.000621158,-1.11522e-09,0,-4.3304e-09,0,4.64298e-13,0,0,5.61885e-25,0
0.739,0,4.23898e-09,0,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,1,0.001001,0,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,2,0.002002,0,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,3,4.23898e-09,0.001001,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,4,0.001001,0.001001,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,5,0.002002,0.001001,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,6,4.23898e-09,0.002002,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
0.739,7,0.001001,0.002002,0.000103095,5.15482e-08,0,0.000311378,2.04539e-12,0,2.17721e-09,0,-1.93901e-20,0,0,-1.78671e-31,0
